,airport__name,aircraft__make_model,effect__amount_of_damage,flight_date,aircraft__airline_operator,origin_state,when__phase_of_flight,wildlife__size,wildlife__species,when__time_of_day,cost__other,cost__repair,cost__total_$,speed_ias_in_knots
1584,LAGUARDIA NY,B-757-200,None,10/13/92 0:00,DELTA AIR LINES,New York,Climb,Large,Unknown bird - large,Day,0,0,0,180.0
1585,HOUSTON-HOBBY,B-737-500,None,10/13/92 0:00,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0
1586,MEMPHIS INTL,B-727-100,None,10/13/92 0:00,FEDEX EXPRESS,Tennessee,Climb,Small,Unknown bird - small,Night,0,0,0,140.0
1587,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-737-200,None,10/14/92 0:00,US AIRWAYS*,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,
1588,CHICAGO O'HARE INTL ARPT,B-737,None,10/15/92 0:00,UNITED AIRLINES,Illinois,Take-off run,Small,Unknown bird - small,Day,0,0,0,
1589,NASHVILLE INTL,B-737-200,None,10/15/92 0:00,SOUTHWEST AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,120.0
1590,CHICAGO O'HARE INTL ARPT,MD-80,None,10/16/92 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,American crow,Day,0,0,0,
1591,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,10/16/92 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,167.0
1592,DALLAS/FORT WORTH INTL ARPT,MD-80,None,10/16/92 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
1593,ATLANTIC CITY INTL,DC-9-30,None,10/16/92 0:00,SPIRIT AIRLINES,New Jersey,Landing Roll,Small,Eastern meadowlark,Day,0,0,0,
1594,DALLAS/FORT WORTH INTL ARPT,B-757-200,None,10/16/92 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
1595,SAN ANTONIO INTL,BE-55  BARON,Minor,10/17/92 0:00,PRIVATELY OWNED,Texas,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,
1596,JOHN F KENNEDY INTL,DC-10-10,None,10/17/92 0:00,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
1597,JOHN F KENNEDY INTL,B-737,None,10/17/92 0:00,BUSINESS,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
1598,DALLAS/FORT WORTH INTL ARPT,MD-80,None,10/18/92 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,
1599,DALLAS/FORT WORTH INTL ARPT,MD-80,None,10/18/92 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,200.0
1600,DALLAS/FORT WORTH INTL ARPT,MD-80,None,10/19/92 0:00,AMERICAN AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
1601,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,10/19/92 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0
1602,LIHUE ARPT,B-737-200,None,10/19/92 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120.0
1603,LIHUE ARPT,B-737,None,10/20/92 0:00,ALOHA AIRLINES,Hawaii,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,
